Component;Needed QTY;Price [$];Link
Ball bearings;8;3,73;https://it.aliexpress.com/item/1005007668446060.html?spm=a2g0o.productlist.main.9.4183TnDrTnDrPC&algo_pvid=cafcd03c-8edd-4410-ade1-3e321d23268f&pdp_ext_f=%7B%22order%22%3A%2220517%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007668446060%7C_p_origin_prod%3A
Magnets;8;3,43;https://it.aliexpress.com/item/1005010158237241.html?spm=a2g0o.detail.0.0.2fe6iOPCiOPCBY&mp=1&gatewayAdapt=glo2ita
Hall Sensors;2;1,73;https://it.aliexpress.com/item/1005010291107815.html?spm=a2g0o.productlist.main.2.12c842beOJxOEy&algo_pvid=59234c39-f291-4e1b-9578-e167315de2aa&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010291107815%7C_p_origin_prod%3A
Charger Module;1;1,67;https://it.aliexpress.com/item/1005005796829555.html?spm=a2g0o.productlist.main.1.416a7badmcrDZ2&algo_pvid=c3058a6b-158f-458c-b426-ca425c0a8e2b&pdp_ext_f=%7B%22order%22%3A%225419%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005796829555%7C_p_origin_prod%3A
Battery;1;13,64;https://it.aliexpress.com/item/1005009333505517.html?spm=a2g0o.productlist.main.4.4fefuxsIuxsILq&algo_pvid=da2fe602-1507-4702-b3b3-a965eb4fd258&pdp_ext_f=%7B%22order%22%3A%2250%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009333505517%7C_p_origin_prod%3A
Booster Module;1;1,67;https://it.aliexpress.com/item/1005008282461434.html?spm=a2g0o.productlist.main.4.69482e2c4Ju7MR&aem_p4p_detail=20260401113644539252397413200001545898&algo_pvid=65e726d0-70b4-441d-83a2-a2c1a141c9a9&pdp_ext_f=%7B%22order%22%3A%222211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008282461434%7C_p_origin_prod%3A&search_p4p_id=20260401113644539252397413200001545898_1
Xiao esp32;1;8,8;https://it.aliexpress.com/item/1005008791937363.html?spm=a2g0o.productlist.main.3.7d53ofzUofzUbX&algo_pvid=444fdce8-ad5c-46a0-9fd7-cd51e360d42f&pdp_ext_f=%7B%22order%22%3A%22678%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008791937363%7C_p_origin_prod%3A
Stepper motor;2;5,52;https://it.aliexpress.com/item/1005008793289290.html?spm=a2g0o.productlist.main.3.1b25VeghVeghEj&algo_pvid=ead028d2-76f3-41aa-ac58-f59e30bb3cf7&pdp_ext_f=%7B%22order%22%3A%22130%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008793289290%7C_p_origin_prod%3A
Motor driver;2;3,08;https://it.aliexpress.com/item/1005010300417050.html?spm=a2g0o.productlist.main.1.abd9oUo9oUo9KE&algo_pvid=f01b28a5-a4a7-4e14-a139-4873a920ca07&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010300417050%7C_p_origin_prod%3A#nav-description
PVC panel;1;25,9;https://pannelliplastica.it/
PCB;1;6,71;jlcpcb
Total:;75,88;;
